No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
16,Patterns,Click to Edit Pattern,Inline editing by clicking on display text,Swap display text with edit form on click,Separate edit page for inline-editable fields,"<div hx-get='/edit/1' hx-trigger='click' hx-swap='outerHTML'>Click to edit</div>","<a href='/edit/1'>Edit</a> /* full page */",Low,https://htmx.org/examples/click-to-edit/
17,Patterns,Bulk Update Pattern,Select multiple items and apply batch action,Checkboxes with shared target for bulk operations,Individual requests per item,"<form hx-post='/api/bulk-update' hx-target='#list'>checkboxes + submit</form>","/* Individual PUT per checkbox change */",Medium,
18,Patterns,Modal Dialog Pattern,Load modal content via HTMX,hx-get to load modal content into container,Client-side modal with embedded content,"<button hx-get='/api/modal/confirm' hx-target='#modal-container'>Open</button>","/* All modal content in initial HTML */",Medium,
19,Response,Use HX-Trigger Response Header,Trigger client-side events from server response,HX-Trigger header to notify other components,Custom JavaScript event dispatching,"HX-Trigger: {'showToast': {'message': 'Saved!'}}","/* Inline script in response HTML */",Medium,https://htmx.org/headers/hx-trigger/
20,Response,Use HTTP Status Codes,Return appropriate status codes for error handling,4xx/5xx for errors with error HTML fragment,Always return 200 with error in body,"HTTP 422 + <div class='error'>Validation failed</div>","HTTP 200 + <div class='error'>Failed</div>",Medium,
21,Alpine,Combine with Alpine.js,Use Alpine.js for client-side state HTMX doesn't handle,Alpine for toggles tabs counters. HTMX for server data,HTMX for purely client-side interactions,"<div x-data='{open: false}'><button @click='open = !open'>Toggle</button></div>","<div hx-get='/toggle-state'> /* server roundtrip for toggle */",Medium,https://alpinejs.dev/
22,Alpine,Use x-data for Local State,Alpine x-data for component-scoped state,x-data for dropdowns accordions and tabs,HTMX round trips for local UI state changes,"<div x-data='{tab: \"home\"}'><button @click='tab = \"settings\"'>","<button hx-get='/change-tab?tab=settings'> /* unnecessary request */",Medium,
23,Tailwind,Pair with Tailwind CSS,Tailwind for styling HTMX-loaded content,Tailwind utility classes in server-rendered fragments,Complex CSS that may not apply to swapped content,"Server returns: <div class='p-4 bg-white rounded-lg shadow'>content</div>","Server returns: <div class='my-custom-class'>content</div> /* styles not loaded */",Low,
24,Performance,Use hx-boost for Navigation,Boost standard links and forms for SPA-like experience,hx-boost='true' on body or nav container,Individual hx-get on every navigation link,"<body hx-boost='true'><!-- all links become AJAX --></body>","<a hx-get='/about' hx-target='#main'>About</a> /* each link */",Medium,https://htmx.org/attributes/hx-boost/
25,Performance,Use Out-of-Band Swaps,Update multiple page areas from single response,hx-swap-oob for updating sidebar counters notifications,Separate request for each area update,"<div id='count' hx-swap-oob='true'>42</div> /* OOB update */","/* 3 separate AJAX calls to update 3 areas */",Medium,https://htmx.org/attributes/hx-swap-oob/
26,Accessibility,ARIA Live Regions,Announce dynamic content changes to screen readers,aria-live on HTMX target containers,Swapping content without announcements,"<div id='results' aria-live='polite' hx-target>","<div id='results'> /* not announced */",High,
27,Accessibility,Focus Management,Manage focus after content swap,hx-on::after-swap to focus new content,Content swap without focus management,"hx-on::after-swap='this.querySelector(\"input\").focus()'","/* No focus management after swap */",High,
