ID,Category,AI_Tell,Why_It_Reads_AI,Fix,Severity,Applies_To,Detection
AS-15,Assets,Fake product screenshots built from div rectangles,"Hand-rolled div mockups look fake and break under content","Use generated images real photography (picsum seed) or honest placeholder slots",High,Web,"detect nested divs styled to mimic an app screenshot"
AS-16,Assets,Overlay label pills on top of images,"Floating label pills over photos are a stock AI composite","Put labels in real layout structure not overlaid on imagery",Low,Web,"scan absolute-positioned pills over img"
AS-17,Motion,More than one marquee per page,"Multiple horizontal marquees read as filler motion","Keep at most one marquee per page",Medium,Web,"count marquee/auto-scroll strips per page"
AS-18,Layout,Split-header (left headline + right explainer paragraph),"The split section header is an overused AI composition","Use a vertical stacked section header instead",Low,Web,"detect 2-col header with headline left text right"
AS-19,Layout,Three or more consecutive zigzag (image-left/text-right) sections,"Repeated alternating rows feel templated","Cap zigzag at 2 consecutive; vary layout families",Medium,Web,"count consecutive alternating image/text sections"
AS-20,Layout,Bento grid with empty cells (cells != item count),"Empty bento cells signal a copied grid not real content","N items = N cells exactly; no empty filler cells",Medium,Web,"compare bento cell count to item count"
AS-21,Layout,Eyebrow overuse (more than ceil(sections/3)),"An eyebrow on every section is mechanical AI styling","Limit uppercase-tracking eyebrows to at most ceil(sections/3)",Low,Web,"count uppercase tracking eyebrow instances vs section count"
AS-22,Color,More than one accent color per project,"Multiple competing accents look unconsidered","One accent maximum; lock it across the whole page",Medium,All,"count distinct high-saturation accents in tokens"
AS-23,Typography,Default Inter without consideration,"Inter-by-default is the universal AI font tell","Reach past Inter deliberately (Geist Outfit Satoshi) or justify the choice",Low,Web,"check font-family equals Inter with no rationale"
AS-24,Typography,Trendy serif default (Fraunces Instrument Serif) without editorial brief,"These serifs are AI go-to display fonts","Use serif only when brand or editorial/luxury aesthetic justifies it",Low,Web,"grep Fraunces / Instrument_Serif in font config"
AS-25,Typography,Mixed serif injected into a sans headline for variety,"Random typeface mixing for visual interest reads AI","Emphasize with italic or bold within the same family",Low,Web,"detect serif span inside sans headline"
AS-26,Color,Premium-consumer cliche palette (beige + brass + oxblood + espresso),"This warm luxury default is an overused AI palette","Rotate to cold luxury forest cobalt terracotta or monochrome",Low,Web,"scan palette for beige/brass/oxblood combo"
AS-27,Layout,Hero does not fit viewport (headline > 2 lines subtext > 4 lines),"Overflowing hero content signals no layout discipline","Headline <= 2 lines subtext <= 20 words <= 4 lines CTA above fold",Medium,Web,"measure hero block height vs viewport"
AS-28,Layout,Excessive hero top padding (content floats mid-page),"Huge top padding pushing the hero down is AI default spacing","Cap hero top padding at pt-24 desktop",Low,Web,"check hero top padding > pt-24"
AS-29,Motion,Motion claimed but page is static,"Promising animation then shipping a static page is a tell","If motion intensity > 4 the page must actively animate",Medium,Web,"verify declared motion matches actual animations"
AS-30,Motion,window.addEventListener scroll for animation,"Manual scroll listeners are janky and a code smell","Use IntersectionObserver useScroll ScrollTrigger or CSS scroll-driven animation",Medium,Web,"grep addEventListener('scroll')"
AS-31,Accessibility,Animation without prefers-reduced-motion guard,"Unguarded motion ignores accessibility and reads as careless","Wrap motion > intensity 3 in prefers-reduced-motion: no-preference",High,Web,"check media query / useReducedMotion present"
AS-32,Assets,Plain-text wordmarks in a logo wall,"Text-only logo walls look like placeholders","Use real SVG logos (Simple Icons devicon) or generated marks under the hero",Low,Web,"scan logo wall for text vs svg"
AS-33,Assets,Hand-rolled decorative SVG illustrations,"Custom decorative SVG blobs read as AI filler","Use generated imagery or real photos; only single geometric marks allowed",Low,Web,"detect complex decorative inline svg"
AS-34,Layout,Mixing multiple design systems in one tree,"Mixing Material + shadcn + Bootstrap signals no system choice","Choose one design system per project and stay consistent",Medium,All,"detect class prefixes from multiple UI systems"
AS-35,Content,Duplicate CTA intent with different labels (Contact us vs Get in touch),"Same intent worded differently across the page reads unedited","One label per intent across the whole page",Low,Web,"group CTA labels by intent and flag duplicates"
AS-36,Layout,h-screen instead of min-h-[100dvh] on full-height sections,"h-screen breaks on mobile browser chrome; dvh is the considered choice","Use min-h-[100dvh] for full-height sections",Low,Web,"grep h-screen on hero/full sections"
